CAT_ID,ATTR_NAME,ATTR_VALUE,SEQ_NBR
16961,'BRAND','Burberry',1
16961,'BRAND','Dolce Vita',2
16961,'BRAND','Salvatore Ferragamo',3
16961,'BRAND','Gucci',4
16961,'BRAND','Jeffrey Campbell',5
16961,'BRAND','kate spade new york',6
16961,'BRAND','MICHAEL Michael Kors',7
16961,'BRAND','Sam Edelman',8
16961,'BRAND','Stuart Weitzman',9
16961,'BRAND','Tory Burch',10
1000674,'BRAND','B Brian Atwood',1
1000674,'BRAND','Burberry',2
1000674,'BRAND','Chloé',3
1000674,'BRAND','Delman',4
1000674,'BRAND','Salvatore Ferragamo',5
1000674,'BRAND','Gucci',6
1000674,'BRAND','Giuseppe Zanotti',7
1000674,'BRAND','L.K.Bennett',8
1000674,'BRAND','Paul Green',9
1000674,'BRAND','Stuart Weitzman',10
17400,'BRAND','Ash',1
17400,'BRAND','Burberry',2
17400,'BRAND','Converse',3
17400,'BRAND','DKNY',4
17400,'BRAND','Gucci',5
17400,'BRAND','Giuseppe Zanotti',6
17400,'BRAND','MICHAEL Michael Kors',7
17400,'BRAND','Nike',8
17400,'BRAND','Superga',9
17400,'BRAND','Vans',10
3866,'BRAND','Ralph Lauren',1
3866,'BRAND','Burberry',2
3866,'BRAND','AQUA',3
3866,'BRAND','Joe's Jeans',4
3866,'BRAND','7 For All Mankind',5
3866,'BRAND','True Religion',6
3866,'BRAND','Splendid',7
3866,'BRAND','Hudson',8
3866,'BRAND','Brooks Brothers',9
3866,'BRAND','UPPAbaby',10
3866,'BRAND','Bugaboo',11
3866,'BRAND','Little Me',12
23707,'BRAND','Ralph Lauren',1
23707,'BRAND','Burberry',2
23707,'BRAND','Bugaboo',3
23707,'BRAND','Little Me',4
23707,'BRAND','UPPAbaby',5
23707,'BRAND','Kissy Kissy',6
23707,'BRAND','Splendid',7
23707,'BRAND','7 For All Mankind',8
23707,'BRAND','True Religion',9
23707,'BRAND','Hartstrings',10
23707,'BRAND','Sara Kety',11
23707,'BRAND','Jacadi',12
10104,'BRAND','AQUA',1
10104,'BRAND','Burberry',2
10104,'BRAND','Ralph Lauren',3
10104,'BRAND','Joe's Jeans',4
10104,'BRAND','7 For All Mankind',5
10104,'BRAND','True Religion',6
10104,'BRAND','Splendid',7
10104,'BRAND','Hudson',8
10104,'BRAND','Flowers by Zoe',9
10104,'BRAND','Egg by Susan Lazar',10
10104,'BRAND','Zoe',11
10104,'BRAND','Vintage Havana',12
10147,'BRAND','Ralph Lauren',1
10147,'BRAND','Burberry',2
10147,'BRAND','Under Armour',3
10147,'BRAND','Lacoste',4
10147,'BRAND','Diesel',5
10147,'BRAND','Brooks Brothers',6
10147,'BRAND','True Religion',7
10147,'BRAND','PUMA',8
10147,'BRAND','7 For All Mankind',9
10147,'BRAND','Joe's Jeans',10
10147,'BRAND','Volcom',11
10147,'BRAND','Armani Junior',12
1001238,'BRAND','Burberry',1
1001238,'BRAND','MICHAEL Michael Kors',2
1001238,'BRAND','Stuart Weitzman',3
1001238,'BRAND','Cole Haan',4
1001238,'BRAND','Nike',5
1001238,'BRAND','Mini Melissa',6
1001238,'BRAND','Hunter',7
1001238,'BRAND','Steve Madden',8
1001238,'BRAND','Converse',9
1001238,'BRAND','Bloch',10
1001238,'BRAND','Superga',11
1001238,'BRAND','Sam Edelman',12
3865,'BRAND','Keurig',1
3865,'BRAND','Hudson Park',2
3865,'BRAND','Villeroy & Boch',3
3865,'BRAND','Ralph Lauren',4
3865,'BRAND','All-Clad',5
3865,'BRAND','Calvin Klein',6
3865,'BRAND','Cuisinart',7
3865,'BRAND','Sferra',8
3865,'BRAND','Michael Aram',9
3865,'BRAND','Sky',10
3865,'BRAND','Waterford',11
3865,'BRAND','Oake',12
3865,'BRAND','Nespresso',13
3865,'BRAND','Charisma',14
3865,'BRAND','Breville',15
3865,'BRAND','John Robshaw',16
3865,'BRAND','De'Longhi',17
3865,'BRAND','Abyss',18
3865,'BRAND','Dyson',19
3865,'BRAND','Matouk',20
3865,'BRAND','Bernardaud',21
3865,'BRAND','Barbara Barry',22
3865,'BRAND','Juliska',23
3865,'BRAND','Frette',24
3865,'BRAND','kate spade new york',25
3865,'BRAND','Lenox',26
3865,'BRAND','William Yeoward',27
3865,'BRAND','Alessi',28
3865,'BRAND','Riedel',29
3865,'BRAND','10 Strawberry Street',30
3865,'BRAND','Kosta Boda',31
3865,'BRAND','Olivia Riegel',32
3865,'BRAND','BIA Cordon Bleu',33
3865,'BRAND','Cambridge Silversmiths',34
3865,'BRAND','Wallace',35
3865,'BRAND','Starbucks',36
3865,'BRAND','Capresso',37
3865,'BRAND','Krups',38
3865,'BRAND','Sonicare',39
3865,'BRAND','Orrefors',40
3865,'BRAND','Swarovski',41
3865,'BRAND','Argento',42
3865,'BRAND','Norelco',43
3865,'BRAND','Joseph Joseph',44
3865,'BRAND','Simply Designz',45
3865,'BRAND','Schmidt Brothers',46
3865,'BRAND','Victorinox',47
3865,'BRAND','Bodum',48
3865,'BRAND','Reed & Barton',49
3865,'BRAND','Tizo',50
3865,'BRAND','Sferra',51
3865,'BRAND','Dubost',52
3865,'BRAND','Hurom',53
3865,'BRAND','Waechtersbach',54
3865,'BRAND','Lalique',55
3865,'BRAND','Jars',56
3865,'BRAND','Royal Stafford',57
